loading_id,execution_id,trip_plan_id,trip_no,tanker_number,seq_no,bmcu_code,bmcu_name,milk_date,shift,qty_litres,qty_kgs,fat_pct,snf_pct,kg_fat,kg_snf,description,chamber,rmrd_qty,is_deleted
5114,1276,2232,10,AP07TJ2180,2,3211,Kondakinda Pali,2026-08-01,,5224.00,5372.8840,4.000,8.200,214.9154,440.5765,RMRD,BC,0.00,f
5115,1276,2232,10,AP07TJ2180,3,3209,Kothapallimitta,2026-08-01,,3506.00,3605.9210,4.200,8.240,151.4487,297.1279,RMRD,FC,0.00,f
5116,1276,2232,10,AP07TJ2180,4,3001,Penumuru,2026-08-01,,4497.00,4625.1645,4.100,8.340,189.6317,385.7387,RMRD,FC,0.00,f
5117,1277,2233,11,AP03TE5050,1,3219,Reddigunta,2026-08-01,,4499.00,4627.2215,4.000,8.200,185.0889,379.4322,RMRD,BC,0.00,f
5118,1277,2233,11,AP03TE5050,2,3215,Yadamari,2026-08-01,,9060.00,9318.2100,4.000,8.320,372.7284,775.2751,RMRD,FC,0.00,f
5119,1277,2233,11,AP03TE5050,3,3439,KG Sathram,2026-08-01,,4278.00,4399.9230,4.000,8.200,175.9969,360.7937,RMRD,BC,0.00,f
5120,1277,2233,11,AP03TE5050,4,3429,G.K.Manchi,2026-08-01,,2087.00,2146.4795,4.100,8.350,88.0057,179.2310,RMRD,BC,0.00,f
5121,1277,2233,11,AP03TE5050,5,3430,Mogili,2026-08-01,,1517.00,1560.2345,3.900,8.180,60.8491,127.6272,RMRD,"FC,BC",0.00,f
5122,1277,2233,11,AP03TE5050,6,3427,Perumala Palli,2026-08-01,,622.00,639.7270,4.200,8.370,26.8685,53.5451,RMRD,BC,0.00,f
5123,1278,2234,12,TN28BB2353,1,3409,Shanthi Puram,2026-08-01,,5048.00,5191.8680,3.900,8.180,202.4829,424.6948,RMRD,FC,0.00,f
5124,1278,2234,12,TN28BB2353,2,3407,V Kota,2026-08-01,,4577.00,4707.4445,4.000,8.200,188.2978,386.0104,RMRD,"FC,BC",0.00,f
5125,1278,2234,12,TN28BB2353,3,3402,Baireddipalle,2026-08-01,,3796.00,3904.1860,3.900,8.180,152.2633,319.3624,RMRD,BC,0.00,f
5126,1278,2234,12,TN28BB2353,4,3405,Pathikonda,2026-08-01,,4981.00,5122.9585,3.800,8.160,194.6724,418.0334,RMRD,FC,0.00,f
5127,1279,2236,13,AP39WE8054,1,3004,Y S Gate,2026-08-01,,1836.00,1888.3260,4.200,8.370,79.3097,158.0529,RMRD,FC,0.00,f
5128,1279,2236,13,AP39WE8054,2,3217,K Patnam,2026-08-01,,1410.00,1450.1850,4.200,8.370,60.9078,121.3805,RMRD,FC,0.00,f
5129,1279,2236,13,AP39WE8054,3,3425,Gajulapalli,2026-08-01,,1462.00,1503.6670,4.000,8.200,60.1467,123.3007,RMRD,FC,0.00,f
5130,1279,2236,13,AP39WE8054,4,3429,G.K.Manchi,2026-08-01,,1994.00,2050.8290,3.800,8.280,77.9315,169.8086,RMRD,BC,0.00,f
5131,1279,2236,13,AP39WE8054,5,3439,KG Sathram,2026-08-01,,3878.00,3988.5230,3.800,8.160,151.5639,325.4635,RMRD,FC,0.00,f
5132,1279,2236,13,AP39WE8054,6,3023,Rangampeta Cross,2026-08-01,,6530.00,6716.1050,4.100,8.220,275.3603,552.0638,RMRD,"FC,BC",0.00,f
5133,1280,2237,14,AP31TF6368,1,3118,Gollamangalam,2026-08-01,,6876.00,7071.9660,4.300,8.390,304.0945,593.3379,RMRD,"FC,MC,BC",0.00,f
5134,1280,2237,14,AP31TF6368,2,3432,Madetipalli,2026-08-01,,10364.00,10659.3740,3.900,8.180,415.7156,871.9368,RMRD,"FC,BC",0.00,f
5135,1280,2237,14,AP31TF6368,3,3221,Bomma Samudram,2026-08-01,,3694.00,3799.2790,4.000,8.200,151.9712,311.5409,RMRD,MC,0.00,f
5136,1281,2238,15,TN52H5484,1,3006,Polireddipalli,2026-08-01,,3168.00,3258.2880,4.000,8.320,130.3315,271.0896,RMRD,BC,0.00,f
5137,1281,2238,15,TN52H5484,2,3002,Pakala,2026-08-01,,2803.00,2882.8855,4.100,8.350,118.1983,240.7209,RMRD,BC,0.00,f
5138,1281,2238,15,TN52H5484,3,3005,Komireddygari Palli,2026-08-01,,6062.00,6234.7670,4.100,8.220,255.6254,512.4978,RMRD,"FC,BC",0.00,f
5139,1281,2238,15,TN52H5484,4,3003,Damalacheruvu,2026-08-01,,3433.00,3530.8405,4.000,8.330,141.2336,294.1190,RMRD,FC,0.00,f
5140,1281,2238,15,TN52H5484,5,3007,Polakala,2026-08-01,,2273.00,2337.7805,4.100,8.350,95.8490,195.2047,RMRD,FC,0.00,f
5146,1283,2239,16,TN24AB6599,1,3701,Pellakuru,2026-08-01,,760.00,781.6600,7.500,9.060,58.6245,70.8184,RMRD,BC,0.00,f
5147,1283,2239,16,TN24AB6599,2,3701,Pellakuru,2026-08-01,,306.00,314.7210,4.400,8.400,13.8477,26.4366,RMRD,FC,0.00,f
5148,1283,2239,16,TN24AB6599,3,3014,Thottambedu,2026-08-01,,811.00,834.1135,4.400,8.280,36.7010,69.0646,RMRD,FC,0.00,f
5149,1283,2239,16,TN24AB6599,4,3014,Thottambedu,2026-08-01,,324.10,333.3369,7.900,9.020,26.3336,30.0670,RMRD,BC,0.00,f
5150,1283,2239,16,TN24AB6599,5,3013,B N Khandriga,2026-08-01,,1679.00,1726.8515,5.600,8.660,96.7037,149.5453,RMRD,BC,0.00,f
5151,1283,2239,16,TN24AB6599,6,3013,B N Khandriga,2026-08-01,,,,,,,,RMRD,,0.00,f
5152,1283,2239,16,TN24AB6599,7,3011,Varadaiahpalem,2026-08-01,,756.00,777.5460,6.400,8.820,49.7629,68.5796,RMRD,BC,0.00,f
5153,1283,2239,16,TN24AB6599,8,3018,Satyavedu,2026-08-01,,1085.30,1116.2310,5.200,8.580,58.0440,95.7726,RMRD,BC,0.00,f
5154,1283,2239,16,TN24AB6599,9,3016,Nagalapuram,2026-08-01,,793.00,815.6005,4.900,8.360,39.9644,68.1842,RMRD,FC,0.00,f
5155,1283,2239,16,TN24AB6599,10,3015,Pichatur,2026-08-01,,1078.00,1108.7230,4.400,8.400,48.7838,93.1327,RMRD,FC,0.00,f
5156,1283,2239,16,TN24AB6599,11,3017,K V B Puram,2026-08-01,,377.00,387.7445,7.000,9.080,27.1421,35.2072,RMRD,BC,0.00,f
5157,1283,2239,16,TN24AB6599,12,3017,K V B Puram,2026-08-01,,1563.00,1607.5455,4.200,8.240,67.5169,132.4617,RMRD,FC,0.00,f
5141,1282,2240,17,TN34AC5878,1,3010,Yerpedu,2026-08-01,,3379.00,3475.3015,4.300,8.380,149.4380,291.2303,RMRD,"FC,BC",0.00,f
5142,1282,2240,17,TN34AC5878,2,3010,Yerpedu,2026-08-01,,,,,,,,RMRD,,0.00,f
5143,1282,2240,17,TN34AC5878,3,3702,Venkatagiri,2026-08-01,,1152.00,1184.8320,7.500,8.680,88.8624,102.8434,RMRD,BC,0.00,f
5144,1282,2240,17,TN34AC5878,4,3704,Dakilli,2026-08-01,,855.00,879.3675,7.500,8.560,65.9526,75.2739,RMRD,BC,0.00,f
5145,1282,2240,17,TN34AC5878,5,3708,Pokurupalli,2026-08-01,,1013.90,1042.7962,7.600,8.830,79.2525,92.0789,RMRD,BC,0.00,f
5158,1284,2241,18,AP03TJ0088,1,3418,Nadimur,2026-08-01,,3804.20,3912.6197,3.800,8.280,148.6795,323.9649,RMRD,BC,0.00,f
5159,1284,2241,18,AP03TJ0088,2,3415,Kuppam BMCU,2026-08-01,,,,,,,,Balance Milk,,0.00,f
5160,1284,2241,18,AP03TJ0088,3,3408,Ramakuppam BMCU,2026-08-01,,4950.00,5091.0750,3.900,8.180,198.5519,416.4499,RMRD,FC,0.00,f
5161,1284,2241,18,AP03TJ0088,4,3413,Pedduru,2026-08-01,,4780.00,4916.2300,3.900,8.180,191.7330,402.1476,RMRD,"FC,MC",0.00,f
5162,1284,2241,18,AP03TJ0088,5,3437,Kuppiganipalli,2026-08-01,,1035.00,1064.4975,3.800,8.160,40.4509,86.8630,RMRD,BC,0.00,f
5163,1284,2241,18,AP03TJ0088,6,3435,Settipalli,2026-08-01,,8172.00,8404.9020,3.900,8.300,327.7912,697.6069,RMRD,"MC,BC",0.00,f
5164,1285,2242,19,TN24BD4749,1,3414,Gudupalli,2026-08-01,,,,,,,,RMRD,,0.00,f
5165,1285,2242,19,TN24BD4749,2,3415,Kuppam BMCU,2026-08-01,,,,,,,,RMRD,,0.00,f
5166,1285,2242,19,TN24BD4749,3,3418,Nadimur,2026-08-01,,,,,,,,RMRD,,0.00,f
5167,1286,2243,20,AP39WH0612,1,3420,Chandramakula Palli,2026-08-01,,2496.00,2567.1360,3.700,8.140,94.9840,208.9649,RMRD,FC,0.00,f
5168,1286,2243,20,AP39WH0612,2,3644,Penchupadu,2026-08-01,,6106.00,6280.0210,4.000,8.260,251.2008,518.7297,RMRD,FC,0.00,f
5169,1286,2243,20,AP39WH0612,3,3442,Ramasamudhram CC,2026-08-01,,4061.00,4176.7385,3.900,8.180,162.8928,341.6572,RMRD,"FC,BC",0.00,f
5170,1286,2243,20,AP39WH0612,4,3419,Punganur,2026-08-01,,5391.00,5544.6435,3.700,8.140,205.1518,451.3340,RMRD,"BC,MC",0.00,f
5171,1286,2243,20,AP39WH0612,5,3404,Peddapanjani,2026-08-01,,2661.00,2736.8385,3.700,8.140,101.2630,222.7787,RMRD,MC,0.00,f
5174,1288,2244,21,AP39UN4344,1,3649,B.Pappuru,2026-08-01,,5809.40,5974.9679,4.100,8.350,244.9737,498.9098,RMRD,"FC,BC",0.00,f
5175,1288,2244,21,AP39UN4344,2,3649,B.Pappuru,2026-08-01,,1390.90,1430.5407,6.900,8.930,98.7073,127.7473,RMRD,"FC,BC",0.00,f
5176,1288,2244,21,AP39UN4344,3,3647,Ragavapalli,2026-08-01,,3992.90,4106.6977,4.200,8.120,172.4813,333.4638,RMRD,"FC,BC",0.00,f
5177,1289,2245,22,AP39TK3377,1,3103,Konaluru,2026-08-01,,18144.00,18661.1040,4.200,8.490,783.7664,1584.3277,RMRD,"FC,BC",0.00,f
5178,1289,2245,22,AP39TK3377,2,3103,Konaluru,2026-08-01,,,,,,,,Balance Milk,,0.00,t
5172,1287,2246,23,TN28BA2919,1,3117,Aavalurpet,2026-08-01,,7709.00,7928.7065,4.200,8.490,333.0057,673.1472,RMRD,BC,0.00,f
5173,1287,2246,23,TN28BA2919,2,3105,Vanapuram,2026-08-01,,12076.00,12420.1660,4.200,8.490,521.6470,1054.4721,RMRD,"FC,BC",0.00,f
5204,1300,2247,24,TN24AR2944,1,3114,Rayakottai,2026-08-01,,3440.00,3538.0400,4.100,7.930,145.0596,280.5666,RMRD,BC,0.00,f
5205,1300,2247,24,TN24AR2944,2,3108,Sankaranarayanapuram(SN Puram),2026-08-01,,8107.00,8338.0495,3.800,7.750,316.8459,646.1988,RMRD,"FC,BC",0.00,f
5206,1300,2247,24,TN24AR2944,3,3113,CR Palyam,2026-08-01,,6499.00,6684.2215,3.900,7.890,260.6846,527.3851,RMRD,FC,0.00,f
5220,1305,2248,25,AP03TC7799,1,3123,Alamelupuram,2026-08-01,,6414.30,6597.1076,4.100,8.050,270.4814,531.0672,RMRD,FC,0.00,f
5221,1305,2248,25,AP03TC7799,2,3110,Kankanur,2026-08-01,,11588.00,11918.2580,4.000,8.080,476.7303,962.9952,RMRD,"FC,BC",0.00,f
5222,1306,2249,26,TN863039,1,3112,Harur,2026-08-01,,10426.30,10723.4496,4.000,8.070,428.9380,865.3824,RMRD,"FC,MC",0.00,f
5223,1306,2249,26,TN863039,2,3119,K Echambadi,2026-08-01,,8921.80,9176.0713,4.200,8.070,385.3950,740.5090,RMRD,"FC,BC",0.00,f
5207,1301,2250,27,TN86A9787,1,3106,Vandavasi,2026-08-01,,7658.00,7876.2530,4.100,8.050,322.9264,634.0384,RMRD,BC,0.00,f
5208,1301,2250,27,TN86A9787,2,3107,Devanur,2026-08-01,,7114.00,7316.7490,4.000,8.570,292.6700,627.0454,RMRD,FC,0.00,f
5209,1301,2250,27,TN86A9787,3,3116,LN Puram,2026-08-01,,6444.00,6627.6540,4.200,8.450,278.3615,560.0368,RMRD,"FC,BC",0.00,f
5199,1298,2251,28,TS08UB0037,1,3902,Kalwakurthy,2026-08-01,,5490.00,5646.4650,4.400,8.410,248.4445,474.8677,RMRD,"FC,BC",0.00,f
5200,1298,2251,28,TS08UB0037,2,3903,Thalakondapalli,2026-08-01,,3972.00,4085.2020,4.500,8.430,183.8341,344.3825,RMRD,BC,0.00,f
5201,1298,2251,28,TS08UB0037,3,3904,Kandukuru,2026-08-01,,1811.00,1862.6135,4.400,8.410,81.9550,156.6458,RMRD,FC,0.00,f
5179,1290,2252,29,TN28BF6792,1,3634,Kotha Cheruvu CC,2026-08-01,,8026.00,8254.7410,4.300,8.260,354.9539,681.8416,RMRD,"FC,BC",0.00,f
5180,1290,2252,29,TN28BF6792,2,3634,Kotha Cheruvu CC,2026-08-01,,,,,,,,RMRD,,0.00,f
5181,1290,2252,29,TN28BF6792,3,3631,Gorantla CC,2026-08-01,,7493.10,7706.6534,4.400,8.280,339.0927,638.1109,RMRD,"FC,BC",0.00,f
5216,1304,2253,30,AP39TD1229,1,3654,Madakasira CC,2026-08-01,,14472.00,14884.4520,4.400,8.410,654.9159,1251.7824,RMRD,"FC,BC",0.00,f
5217,1304,2253,30,AP39TD1229,2,3654,Madakasira CC,2026-08-01,,440.00,452.5400,4.400,8.410,19.9118,38.0586,RMRD,"FC,BC",0.00,f
5218,1304,2253,30,AP39TD1229,3,3645,Manesamudram,2026-08-01,,6464.60,6648.8411,4.000,8.200,265.9536,545.2050,RMRD,BC,0.00,f
5219,1304,2253,30,AP39TD1229,4,3652,Lepakshi CC,2026-08-01,,9257.30,9521.1330,4.100,8.310,390.3665,791.2062,RMRD,FC,0.00,f
5213,1303,2254,31,TN76AL9919,1,3642,Kokkanti Cross CC,2026-07-30,,7897.00,8122.0645,4.200,8.240,341.1267,669.2581,RMRD,FC,0.00,f
5214,1303,2254,31,TN76AL9919,2,3633,Nallamada CC,2026-07-30,,6984.00,7183.0440,4.100,8.220,294.5048,590.4462,RMRD,"FC,BC",0.00,f
5215,1303,2254,31,TN76AL9919,3,3655,Rallananthapur CC,2026-07-30,,4111.00,4228.1635,4.500,8.430,190.2674,356.4342,RMRD,FC,0.00,f
5210,1302,2255,32,TN30CL2599,1,3629,Kadiri Talapula CC,2026-08-01,,12914.00,13282.0490,4.100,8.220,544.5640,1091.7844,RMRD,"FC,BC",0.00,f
5211,1302,2255,32,TN30CL2599,2,3632,Gandlapenta CC,2026-08-01,,9267.00,9531.1095,4.100,8.220,390.7755,783.4572,RMRD,"FC,BC",0.00,f
5212,1302,2255,32,TN30CL2599,3,3809,Diguva Kancharla Palli,2026-08-01,,4509.00,4637.5065,3.900,8.180,180.8628,379.3480,RMRD,FC,0.00,f
5202,1299,2256,33,AP03TE2079,1,3641,Thurakapalli CC,2026-08-01,,12414.30,12768.1075,3.800,8.160,485.1881,1041.8776,RMRD,"FC,BC",0.00,f
5203,1299,2256,33,AP03TE2079,2,3651,CTM CC,2026-08-01,,6750.70,6943.0950,4.000,8.080,277.7238,561.0021,RMRD,"FC,BC",0.00,f
5197,1297,2257,34,RJ32GB7005,1,3416,7th Mile CC,2026-08-01,,25000.00,25712.5000,3.900,8.180,1002.7875,2103.2825,RMRD,"FC,BC",0.00,f
5198,1297,2257,34,RJ32GB7005,2,3416,7th Mile CC,2026-08-01,,,,,,,,RMRD,,0.00,t
5422,1297,2257,34,RJ32GB7005,3,3418,Nadimur,2026-08-01,,4112.90,4230.1176,3.800,8.160,160.7445,345.1776,RMRD,FC,0.00,f
5195,1296,2258,35,TG12T4949,1,3417,Avulanatham CC,2026-08-01,,14218.90,14624.1386,3.800,8.430,555.7173,1232.8149,RMRD,"FC,BC",0.00,f
5196,1296,2258,35,TG12T4949,2,3446,Nulukunta Cross,2026-08-01,,12767.20,13131.0652,3.900,8.300,512.1115,1089.8784,RMRD,"FC,BC",0.00,f
6931,1296,2258,35,TG12T4949,3,3021,Chandragiri CC,2026-08-01,,759.00,780.6315,3.900,8.180,30.4446,63.8557,RMRD,,0.00,f
5194,1295,2259,36,TN52Q9387,1,3438,Kuppam Rural CC,2026-08-01,,18774.40,19309.4704,3.900,8.180,753.0693,1579.5147,RMRD,"FC,BC",0.00,f
5190,1294,2260,37,TN24BC6019,1,3441,Ramakuppam CC,2026-08-01,,9662.00,9937.3670,4.000,8.200,397.4947,814.8641,RMRD,BC,0.00,f
5191,1294,2260,37,TN24BC6019,2,3436,VK Patrapalli CC,2026-08-01,,7372.00,7582.1020,4.000,8.200,303.2841,621.7324,RMRD,FC,0.00,f
5192,1294,2260,37,TN24BC6019,3,3440,Kondahalli CC,2026-08-01,,3428.00,3525.6980,4.100,8.220,144.5536,289.8124,RMRD,"FC,BC",0.00,f
5193,1294,2260,37,TN24BC6019,4,3435,Settipalli,2026-08-01,,1434.00,1474.8690,3.900,8.300,57.5199,122.4141,Balance Milk,FC,0.00,f
5188,1293,2261,38,AP02TC1483,1,3807,Lakkireddipalli,2026-07-31,,9990.70,10275.4350,4.100,8.220,421.2928,844.6408,RMRD,"FC,MC,BC",0.00,f
5189,1293,2261,38,AP02TC1483,2,3807,Lakkireddipalli,2026-07-31,,1158.60,1191.6201,5.500,8.640,65.5391,102.9560,RMRD,"FC,MC,BC",0.00,f
5185,1292,2262,39,AP03TE5699,1,3434,N Vaddanahalli CC,2026-08-01,,,,,,,,RMRD,,0.00,f
5186,1292,2262,39,AP03TE5699,2,3443,Lakkanapalli CC,2026-08-01,,,,,,,,RMRD,,0.00,f
5187,1292,2262,39,AP03TE5699,3,3406,Palamaner CC,2026-08-01,,,,,,,,RMRD,,0.00,f
5182,1291,2263,40,AP03TJ0033,1,3021,Chandragiri CC,2026-08-01,,7664.60,7883.0411,3.900,8.180,307.4386,644.8328,RMRD,FC,0.00,f
5183,1291,2263,40,AP03TJ0033,2,3021,Chandragiri CC,2026-08-01,,,,,,,,Balance Milk,,0.00,f
5184,1291,2263,40,AP03TJ0033,3,3020,Putturu CC,2026-08-01,,14695.00,15113.8075,4.200,8.370,634.7799,1265.0257,RMRD,"FC,BC",0.00,f
5254,1313,2264,41,SALE TANKER,1,3104,Karapattu,2026-08-01,,,,,,,,RMRD,,0.00,f
5257,1315,2265,42,SALE TANKER,1,3109,Mandakolathur,2026-08-01,,,,,,,,RMRD,,0.00,f
5258,1315,2265,42,SALE TANKER,2,3104,Karapattu,2026-08-01,,,,,,,,Balance Milk,,0.00,f
5259,1316,2266,43,AP03TE6660,1,3901,Gowraram ,2026-07-31,,2335.00,2401.5475,4.500,8.310,108.0696,199.5686,RMRD,BC,0.00,f
5704,1443,2360,43,AP03TE5699,1,3434,N Vaddanahalli CC,2026-08-01,,5296.60,5447.5531,3.900,8.300,212.4546,452.1469,RMRD,FC,0.00,f
5705,1443,2360,43,AP03TE5699,2,3443,Lakkanapalli CC,2026-08-01,,2523.00,2594.9055,4.000,8.200,103.7962,212.7823,RMRD,BC,0.00,f
5706,1443,2360,43,AP03TE5699,3,3406,Palamaner CC,2026-08-01,,16614.50,17088.0133,4.000,8.200,683.5205,1401.2171,RMRD,"BC,FC",0.00,f
5255,1314,2267,44,AP03TE9069,1,3101,Kumaravadi,2026-08-01,,3396.00,3492.7860,4.400,8.150,153.6826,284.6621,RMRD,"BC,MC",0.00,f
5256,1314,2267,44,AP03TE9069,2,3102,Thammanuru,2026-08-01,,3877.00,3987.4945,4.100,8.180,163.4873,326.1771,RMRD,"FC,MC",0.00,f
5400,1314,2267,44,AP03TE9069,3,3102,Thammanuru,2026-08-01,,368.00,378.4880,7.600,8.880,28.7651,33.6097,RMRD,MC,0.00,f
5401,1314,2267,44,AP03TE9069,4,3101,Kumaravadi,2026-08-01,,437.00,449.4545,7.000,8.580,31.4618,38.5632,RMRD,MC,0.00,f
5630,1417,2363,45,SALE TANKER,1,3417,Avulanatham CC,2026-08-01,,13094.20,13467.3847,3.900,8.430,525.2280,1135.3005,RMRD,"FC,BC",0.00,f
5631,1417,2363,45,SALE TANKER,2,3415,Kuppam BMCU,2026-08-01,,1610.50,1656.3993,3.900,8.300,64.5996,137.4811,Balance Milk,FC,0.00,f
